node,count,star,friends
q_QQ5kBBwlCcbL1s4NVK3g,1221,3.85,5843
7GPNBO496aecrjJfW6UWtg,694,3.91,104
NXw0bCLF5ZtFMfhcj7CFSw,1355,3.8,181
2iSBJHVMNsolJ3AH1g_D7A,546,4.23,1102
NcoP47QP_eMVtoZvinwU-w,248,3.94,181
iLjMdZi0Tm7DQxX1C1_2dg,2434,3.98,12395
vjpRR9_Elrz4bli35gCq7w,206,3.66,356
l2bYZedPQxb9kPAbSM7ntQ,139,3.25,22
EFy_1YhtUosvtOUUiJCRkw,414,3.56,72
fFGPBtsutYpn3A155Sf75Q,194,4.18,245
AKYT7Ky07-3MEh8NtC37eQ,164,3.88,52
jqp5BEMzEUIWTCt6pezS2Q,876,3.87,497
x7v3sLJYa8lh1mtt70L_rw,114,4.07,60
r-Ylwav3TFmum-0iWqrq_w,77,3.59,122
0sAL8xHBC1h66ppvsNb6zQ,41,3.69,28
_vSA8Ps9s_npHOAk99p4MA,257,4.26,585
7CDpwBhMhhh9CyCxTDx3Sg,23,3.78,55
_v-L_chcj5iz1LD-5OlMeA,147,3.65,151
cD_hpkvErXCyQHBQzv8KYQ,644,3.62,483
z9hL9bqkUPO9USXG8Qfr_A,298,3.31,167
Pu5bhf4htqSc6jD5fYvmUg,49,4.28,815
rwunB1NCVJnBMLM83_vv4g,60,3.08,12
_oPtg_4TMQuB8Hb1ANQxVw,343,3.93,195
Z5tRfEJyk1cXfLMErY-q6Q,227,3.73,43
u1_OF0lkoU274x6yhsXIyQ,134,3.76,153
ueRPE0CX75ePGMqOFVj6IQ,704,4.26,839
FC1ZSB9fd4WlDMSAbEjq8Q,1806,3.56,600
AM3XVR__ZLibthzYrb84fw,297,3.97,181
ljDvuID7AyHmJ0GJqfV5_A,613,2.98,200
A9qdr45loyexwkOHIqhFpA,49,3.88,14
puvyO8VZP0RqQCvZVMVKjg,244,4.25,314
Lbs1oQdIKTfCnDExSQInkQ,149,4.18,90
dECgeYO8lFzdoGztGNiSxw,84,4.4,301
3Ju-rgeYZo83pp7-IzTyrg,16,3.41,157
_wTMb2bt93UX491MSa-SpQ,231,4.31,680
pW9LvtC-hZ0PRAOUn7aZ2A,2215,3.53,926
o_O0E0vDIdfacR_fijX17w,59,4.15,68
zqma43CENEfE2VKXb9lelA,506,3.48,1836
1kpMAKRZuAz3OzxBav3XTg,1196,3.88,3954
3Vd_ATdvvuVVgn_YCpz8fw,664,3.35,1908
suB5Ari7u3w9d4kyCM940A,164,3.49,195
0NZe-dGGvEDiquDawAd1wg,282,3.77,89
ksBkzFRMOwtDiW7KMyEkYw,187,3.56,1600
TGeIzTdHVvc8qH_KQt8y-Q,119,4.02,136
9DzGmqXfcdkUFmrVb38Ujw,323,3.1,700
KcHbGVWtC5xR_TcH0mqwgw,609,3.78,672
A1s0L-5K8x1LPu3Iodt0Xw,248,3.99,560
2XHr-Pdqqdp__sgK3pcKZQ,431,4.03,686
Xtvww0Syf9hFHgPNz1_Sww,506,3.63,1355
6L-8akBoo-42LSdf8Ry_vQ,389,3.85,430
jCfyi8mOBqMJrj_DZFalgg,659,3.14,5432
rcU7ysY41qGppbw4pQgjqg,2057,3.87,5817
hBicl52tMVsTecdZSVL-lQ,961,3.94,3662
73W-VivU0G0-VZjC7m4QTQ,146,3.58,136
dqfLce72HaUUj9E-nUxT-Q,561,3.81,486
bT9VAkJYOSO4UpYFPUsrQQ,151,3.49,61
wo632pzj23-Di2RakSugjQ,1507,4.16,613
T8LqkYbwMPZmvXSsUfN8sQ,403,4.08,740
jyz8-hAPGRjurBVp9DST9A,347,3.82,635
ZcFB7xOpJufgX9hHPFh9mQ,270,4.07,4311
tN0lpNS8j9Rpu4ZEZ-KwKQ,445,3.34,2639
hWDybu_KvYLSdEFzGrniTw,16567,3.67,2325
04J_q_VhSBItxNiEAN-gkA,482,3.92,2124
k7LYUBhO7ri41oIg3_t5hQ,286,3.67,161
SnOPsT4JFX5_hjfBfjOwjw,167,3.66,161
4rg-rTjYpnEjNOqi-ej4RA,609,3.79,400
