node,count,star,friends
E9kcWJdJUHuTKfQurPljwA,358,3.73,82
y2GyxJF5VQWohxgw_GR7Jw,30,3.53,19
3zxy3LVBV3ttxoYbY4rQ8A,2073,3.95,7050
PgkpCBDHtDvNPMULHO2b2A,111,3.81,83
nuQHNRSggMsvI9BK-gMYgA,288,3.95,594
BP0Hh7iA-oAMwOjLyqvhoQ,49,3.68,18
ceHr_dfChpybjiPd3IhbtQ,72,3.2,1434
3YRIaEjOPoBEz4xoXaJ1jQ,212,3.78,558
Mt97wbFODa3DnUAtfDhSTQ,76,4.08,129
pRAG05KXr_mZY0gzKAwAPw,16,3.94,73
HzeVbLwHoWdNGA1IYWJ-nw,415,3.93,190
CQUDh80m48xnzUkx-X5NAw,4216,3.91,5195
5fkoav7AvFML3ljk5gA1Jw,153,3.4,408
0fcXVDi6zmRYs7t3hTpYkQ,605,3.8,4402
yzBOmxx_TrTr2hMBExXziQ,126,4.01,316
5eKI5IE1LhtzUzE_DDWc8A,382,3.78,2242
h8_Mzh_ndxFwxQgLZsRs9w,131,3.83,1418
xpMrwPMb6i3nn60m8epz2w,7,4,10
5tXRxr4T24Awl7vjyCvIcQ,741,3.97,3930
HP4yLoHhIEhWFKnl6d5KiQ,52,4.5,37
A7cl9FfREOTi0Uy-AT1r5g,84,3.86,51
RtUkSBvInr8mi6-I-PQWoA,224,2.9,3
rcU7ysY41qGppbw4pQgjqg,2057,3.87,5817
BDgDYTYBZfT_315zBn-PGw,382,3.65,332
RPv7ucQhFpBG4GcOg1U6jg,129,3.84,49
su2vi_acXasaabF31YExDg,136,4.03,58
UQJl2MT-xhwNLcpVk6ypqg,122,3.57,437
t-DETbgjhVlzbInvh45fzQ,538,3.2,135
2t_-Ohon40Y0BBsjsbYA_A,15,4.75,2
bFi7fAIz1_gmO2lml7H8Tg,332,3.5,107
2KvJwXhl7Y8z7q0ntFoxgA,144,3.17,100
ET8n-r7glWYqZhuR6GcdNw,2256,4.05,5958
hbF4aqmist0FxWpD7YhmNQ,35,3.98,44
K175l53A-ciYnt0xS_V4CQ,504,3.45,214
BXccVzOSil0hyKL24DTUHQ,780,3.72,491
wb2I6PxYjRStE7OGLL4S7A,258,3.97,991
om5ZiponkpRqUNa3pVPiRg,2811,3.97,5768
ELvPJooHTxyaAcyDP1VnEA,54,3.94,274
8w6GVGNi6DRqH4MZnxY4Zw,144,4.16,127
bdNPDTSk1abuB3S_74xu3A,770,3.74,524
jN0Tn-LA-BkfNcj1P2Mezg,86,3.73,16
gCR6o3H7wDOvX2HkttCBPQ,106,3.64,47
HpgDCyQGSR0TzYi00-wLew,449,4.13,208
91MuXft5Wi8BI5JJtVCMdQ,98,3.67,35
1nWwwKZ3dBKdyH0V2weWOw,510,3.91,560
Y1q1tQV-MRmNmXg59PPVuA,192,3.8,4079
QSvpkvK_ab7gMMeJFlFdDA,178,3.46,533
_DTH_j6k6iv1QM5H1Cv7Ew,334,4.01,726
rdjGugp_bcHecvS2cHzl6Q,213,3.79,176
HqXlzjw0SjcrywTV3ppbNg,72,3.96,22
iwot8dXs1kNCb5aHH9ML_w,272,4.19,696
e59ON8Pd_mWPfiIHjTpd2w,130,3.66,35
hc_saqEuADO_E1HXRBdbmQ,154,4.11,268
G8B3AbJ0IGWnvx0JAZSQzQ,33,3.06,139
ZwTz6lxgS9q3vb_uzH8xkQ,111,4.17,118
GFyA9ULGAeD-xZEPto2y7A,1645,4.02,6283
qi-UXjyWyJt2qq2CEC-Wfg,573,3.9,780
rsVLUphOQsooFcd-Y8KXRg,314,4.04,231
EvCh4wSw_n_WmCRoP-Cyxw,80,3.98,358
zJedPBPEPlzd9U5veaZtJA,101,3.25,197
RgghGNPfug6D3yu_xaezrw,126,3.92,210
EIwNqeBDMQ4Q6k0DQ30SyA,209,4.68,216
DvWM62NWf2MV1EpN7T8S1A,220,3.7,810
-3WDAOZFrQkXh7kB_PcVgw,32,3.58,128
e-wEAZahjabaGmHstwatEg,220,4.48,117
Eq--9jeNDdOT9LZSNsVyGA,24,3.92,167
T7x7M9xhScyFx1tnawzDOQ,165,3.8,263
3CzuOl-nZQsk_brwy-LStw,285,3.59,1417
vXCi4JXoLfy_WZWsbHHOug,261,4.09,2533
oDgFJv85M22F26LESCxAWA,524,3.76,760
pLlRrcoDrzX7QSlTTcG0ow,641,4.13,763
1TC5reWTNXrMHCynBAfH9w,446,3.29,541
wh4_AwDV2NSsZ-LEmNWffg,946,3.85,1465
F8ARbbJ21OZCJdeBbUMT7Q,351,3.97,242
ZX2fsVaCYP4j5A8jFW2GUw,64,3.57,68
pUlRJvxiMDPN0NvzyUsXBA,34,3.82,22
mMFutTXrPmLZcnDjSK6MNw,15,4.75,32
0LdY1CcGhbu-rCJq0g5FfA,193,3.68,196
my2QdiHb5c9i67otCSL-bA,419,3.64,173
Y5oH9VlzH0IfhCQ3SSESoQ,1320,3.79,1490
LcaoMdHq-gO3FHejfooGpA,179,3.35,2681
DJaQV3r153ZsBQArxAPl8g,215,3.67,736
0E-IU4qDXps1MHQhNZx6vA,276,3.77,76
WT1kawqQ43mXUNS2xL3Iyg,234,3.66,902
LRqQiuBvA4TDyyCtbeGjDQ,503,3.75,452
HzoQKKHDq9BI37dyJAAtGA,1145,3.67,1649
syvwUKQJ4OYfmL_ixVLMeQ,4386,3.29,2943
y8jJV4AeH6ZEBagQ_ys8KQ,919,3.62,620
Fr-rSVcHBq09MrvviJ1-hg,1093,3.48,417
b1GrLfhmXk6aDsA18LvEXw,170,3.75,145
8Zocr6jVED5JQEBvqwEBZw,1797,3.41,2155
y8eBNwZy-bDxAlMxc2t7FQ,701,3.84,2780
EHhWhy5qvPo4Y5wrEK6PpQ,228,3.63,407
wFamDbjhhY_myRb4dUEwoA,621,3.68,719
ZOxi5gyacIAfSjWjeIRjbQ,27,3.79,142
AoG7mVduUL7qQtjjFbtCOw,229,3.8,147
NRGJ4IvauajqqCbhT640cw,1242,3.92,5493
xfOL8hHndEL7uJ-Pid9Cgg,188,3.76,239
bs2CWYy9UFMjkK-oIJGNaA,488,3.97,176
ypnn6O0fFRDlHrMYOEUDBw,490,3.66,87
WX1k1QLhG6_kmbK-R2YQiQ,313,3.34,396
zFkD4hdNOErATPKgiRPc4g,115,4.04,227
QEOj5yViIq2SmylKt6o_5g,603,3.21,214
TXZRfbmCPe8z5LwKEVGASA,144,3.31,46
UwmtWzBdbi4AAJiuBrXrQA,833,4.06,1311
K6Z1NU_ofX4yiUqWtV1jNA,706,3.4,378
fQuLe-KuojSco4DRbcFpGw,522,3.84,422
XkdIYdBV5hosuVLBIpwSUg,1475,3.47,890
sLvjyCJhgKwgRoYGcB0uWw,195,3.2,57
lupK6fEilbMRFlAEF7R9LQ,282,3.74,366
B_T4fv0GlGcZLDpchBX-0g,650,3.91,768
WuGrrM__qrTHal6fkr9rZg,1023,4.02,240
wZPizeBxMAyOSl0M0zuCjg,5002,3.65,3961
7kPR3NAhl72EGbUU1h9FOw,820,3.89,353
NOmAy-MwUgr_v8dwKBAJNw,643,3.72,755
GaLpIsLKnSq26WYCv81kIw,155,3.79,322
wlVel4SSLJ_tji4sWYsCeg,169,4.24,86
i9NUpbJwjgFx5eynO_-UBw,411,4.47,590
o0exBsBaHnS4O9SHjwwpOQ,1625,3.73,1296
TC2yjZCqE3F2ElZhsQ4Qnw,317,4.09,217
Mvs4_S_Klo-aiR12keyAYQ,176,3.69,72
rrHqnO9frE_xjHK9gaiz0w,493,3.55,201
xq8MehjzMhUEl33Eun4OCw,194,3.44,63
LB_dvaFy7Iv8RdLv4POYPQ,622,3.76,687
klV8OmU4eK_oPI98oalfPg,653,3.83,603
snx2PwY6KL1BbhttnR-7bw,4,4.75,130
ou7z4su1Hd89zUYwp7YnTg,307,3.73,127
kjqtKg38NwHAeaq5Fjc5CA,269,3.99,550
12mi9v_hM8Pj94WogGUy6w,20,4.48,10
hMY0wsj3VxOaBixV_6YnuA,127,3.84,17
09BVSK2BeCopebFI6plOIQ,703,3.9,848
